time,cpu
1529463499,4
1529465325,4
1529467040,4
1529468634,4
1529470685,4
1529472436,4
1529474087,4
1529475854,4
1529477873,4
1529479749,4
1529481685,4
1529483492,4
1529484898,4
1529486610,4
1529488435,4
1529490297,4
1529492136,4
1529493894,4
1529495797,5
1529497516,4
1529499356,4
1529501056,5
1529502913,5
1529504690,4
1529506464,15
1529508208,17
1529510108,16
1529512075,12
1529513609,13
1529515415,13
1529517177,12
1529518988,11
1529520768,11
1529522843,12
1529524440,15
1529526330,17
1529528159,19
1529529870,15
1529531692,14
1529533419,16
1529535213,15
1529537068,16
1529538825,15
1529540644,14
1529542437,17
1529544274,18
1529546120,20
1529547908,15
1529549632,13
1529551483,13
1529553202,15
1529555004,14
1529556807,14
1529558845,15
1529560514,12
1529562331,10
1529564051,10
1529565955,9
1529567777,8
1529569437,7
1529571226,7
1529573020,6
1529574838,6
1529576966,5
1529578482,4
1529580368,4
1529582281,4
1529584047,4
1529585978,14
1529587463,25
1529589238,20
1529591182,14
1529592881,15
1529594664,13
1529596619,13
1529598350,16
1529600169,15
1529601864,15
1529603654,16
1529605451,14
1529607584,12
1529609191,11
1529610837,13
1529612711,21
1529614695,20
1529616334,18
1529618156,14
1529619797,12
1529621583,13
1529623439,13
1529625231,11
1529627119,13
1529628818,19
1529630717,18
1529632471,16
1529634430,14
1529636227,15
1529637775,19
1529639602,16
1529641410,13
1529643226,13
1529644964,14
1529646985,14
1529648830,16
1529650740,13
1529652902,12
1529654415,14
1529657970,13
1529659743,13
1529661845,14
1529663274,12
1529665714,13
1529667453,13
1529668965,14
1529670521,14
1529672354,15
1529674232,14
1529675906,16
1529677758,13
1529679766,11
1529683026,12
1529684813,13
1529686607,14
1529688508,11
1529690200,16
1529691978,15
1529693803,11
1529695947,11
1529697370,12
1529699191,11
1529700985,10
1529702938,13
1529704583,10
1529706367,9
1529708165,7
1529710059,6
1529711874,6
1529713610,6
1529715421,5
1529717177,5
1529718777,4
1529720580,4
1529722400,4
1529724167,4
1529725967,4
1529727956,4
1529729575,4
1529731352,4
1529733183,4
1529735006,4
1529736759,4
1529738606,4
1529740399,4
1529742167,4
1529744001,4
1529745772,4
1529747597,4
1529749340,4
1529751213,4
1529752976,4
1529754767,4
1529756649,4
1529758405,3
1529760199,4
1529761979,4
1529763755,4
1529765589,4
1529767431,4
1529769160,4
1529770963,4
1529772765,4
1529774556,4
1529776374,4
1529778158,3
1529779965,4
1529781766,4
1529783577,4
1529785369,4
1529787221,4
1529788955,4
1529790756,4
1529792554,4
1529796158,4
1529798007,5
1529799818,12
1529801612,35
1529803385,18
1529805162,12
1529806943,14
1529808745,13
1529812341,10
1529814148,10
1529815954,9
1529817738,7
1529819552,7
1529821349,7
1529823131,6
1529824975,5
1529826788,4
1529828541,4
1529830351,4
1529832180,4
1529833940,4
1529835730,4
1529837581,4
